relay_id,event_ts,device,metric,before_30m_mean,after_0_30m_mean,after_30_120m_mean,delta_0_30m,delta_30_120m,n_before,n_after30,n_after120
8,2026-04-15 10:25:26,th-2,humidity,29.1,29.9,29.9,0.7999999999999972,0.7999999999999972,30,30,90
11,2026-04-15 10:26:53,th-1,temperature,23.21666666666667,23.7,24.063333333333333,0.48333333333333073,0.846666666666664,30,30,90
11,2026-04-15 10:26:53,th-1,humidity,33.03333333333333,34.0,34.044444444444444,0.9666666666666686,1.0111111111111128,30,30,90
11,2026-04-15 10:26:53,th-2,temperature,27.953333333333333,27.973333333333333,28.245555555555555,0.019999999999999574,0.2922222222222217,30,30,90
11,2026-04-15 10:26:53,th-2,humidity,29.1,29.933333333333334,29.91111111111111,0.8333333333333321,0.81111111111111,30,30,90
9,2026-04-15 10:26:53,th-1,temperature,23.21666666666667,23.7,24.063333333333333,0.48333333333333073,0.846666666666664,30,30,90
9,2026-04-15 10:26:53,th-1,humidity,33.03333333333333,34.0,34.044444444444444,0.9666666666666686,1.0111111111111128,30,30,90
9,2026-04-15 10:26:53,th-2,temperature,27.953333333333333,27.973333333333333,28.245555555555555,0.019999999999999574,0.2922222222222217,30,30,90
9,2026-04-15 10:26:53,th-2,humidity,29.1,29.933333333333334,29.91111111111111,0.8333333333333321,0.81111111111111,30,30,90
8,2026-04-15 10:27:03,th-1,temperature,23.21666666666667,23.7,24.063333333333333,0.48333333333333073,0.846666666666664,30,30,90
8,2026-04-15 10:27:03,th-1,humidity,33.03333333333333,34.0,34.044444444444444,0.9666666666666686,1.0111111111111128,30,30,90
8,2026-04-15 10:27:03,th-2,temperature,27.953333333333333,27.973333333333333,28.245555555555555,0.019999999999999574,0.2922222222222217,30,30,90
8,2026-04-15 10:27:03,th-2,humidity,29.1,29.933333333333334,29.91111111111111,0.8333333333333321,0.81111111111111,30,30,90
6,2026-04-21 10:26:27,th-1,temperature,21.053333333333335,21.333333333333332,21.787777777777777,0.2799999999999976,0.734444444444442,30,30,90
6,2026-04-21 10:26:27,th-1,humidity,18.2,18.0,18.855555555555554,-0.1999999999999993,0.655555555555555,30,30,90
6,2026-04-21 10:26:27,th-2,temperature,24.986666666666668,25.226666666666667,25.68,0.23999999999999844,0.6933333333333316,30,30,90
6,2026-04-21 10:26:27,th-2,humidity,17.966666666666665,18.0,18.555555555555557,0.03333333333333499,0.5888888888888921,30,30,90
6,2026-04-21 10:26:27,co2-1,temperature,21.1,21.39,21.785555555555558,0.28999999999999915,0.6855555555555561,30,30,90
6,2026-04-21 10:26:27,co2-1,humidity,27.13,27.493333333333332,29.04222222222222,0.3633333333333333,1.9122222222222227,30,30,90
6,2026-04-21 10:26:27,co2-1,co2,339.53333333333336,347.53333333333336,360.53333333333336,8.0,21.0,30,30,90
5,2026-04-21 10:26:30,th-1,temperature,21.053333333333335,21.333333333333332,21.787777777777777,0.2799999999999976,0.734444444444442,30,30,90
5,2026-04-21 10:26:30,th-1,humidity,18.2,18.0,18.855555555555554,-0.1999999999999993,0.655555555555555,30,30,90
5,2026-04-21 10:26:30,th-2,temperature,24.986666666666668,25.226666666666667,25.68,0.23999999999999844,0.6933333333333316,30,30,90
5,2026-04-21 10:26:30,th-2,humidity,17.966666666666665,18.0,18.555555555555557,0.03333333333333499,0.5888888888888921,30,30,90
5,2026-04-21 10:26:30,co2-1,temperature,21.1,21.39,21.785555555555558,0.28999999999999915,0.6855555555555561,30,30,90
5,2026-04-21 10:26:30,co2-1,humidity,27.13,27.493333333333332,29.04222222222222,0.3633333333333333,1.9122222222222227,30,30,90
5,2026-04-21 10:26:30,co2-1,co2,339.53333333333336,347.53333333333336,360.53333333333336,8.0,21.0,30,30,90
11,2026-04-23 17:28:41,th-1,temperature,24.963333333333335,22.863333333333333,21.65,-2.1000000000000014,-3.313333333333336,30,30,90
11,2026-04-23 17:28:41,th-1,humidity,28.633333333333333,24.966666666666665,19.166666666666668,-3.666666666666668,-9.466666666666665,30,30,90
11,2026-04-23 17:28:41,th-2,temperature,27.223333333333333,26.343333333333334,25.303333333333335,-0.879999999999999,-1.9199999999999982,30,30,90
11,2026-04-23 17:28:41,th-2,humidity,30.666666666666668,26.833333333333332,19.455555555555556,-3.8333333333333357,-11.211111111111112,30,30,90
11,2026-04-23 17:28:41,co2-1,temperature,24.613333333333333,22.793333333333333,21.73,-1.8200000000000003,-2.883333333333333,30,30,90
11,2026-04-23 17:28:41,co2-1,humidity,39.946666666666665,35.24333333333333,30.45111111111111,-4.703333333333333,-9.495555555555555,30,30,90
11,2026-04-23 17:28:41,co2-1,co2,350.03333333333336,352.3333333333333,341.5777777777778,2.2999999999999545,-8.455555555555577,30,30,90
9,2026-04-23 17:28:41,th-1,temperature,24.963333333333335,22.863333333333333,21.65,-2.1000000000000014,-3.313333333333336,30,30,90
9,2026-04-23 17:28:41,th-1,humidity,28.633333333333333,24.966666666666665,19.166666666666668,-3.666666666666668,-9.466666666666665,30,30,90
